    2    5
    7   14
   10    1
   10    2
   10    3
   10    4
   10    5
   10    6
   10    7
   10    8
   10    9
   10   10
   10   11
   10   12
   10   13
   10   14
   17    4
   23    4
   25    4
   33    4
   45    4
   46    4
   46    5
   62    4
   63    4
   65    4
   71    4
   71    5
   72    4
   72    5
   72    6
   72    7
   75    4
   77    4
   85    4
   86    4
   86    5
   89    4
   90    4
   94    4
   94    5
   98    4
   101   4
   101   5
   102   4
   102   5
   105   4
   106   4
   110   4
   112   4
   112   5
   112   6
   115   4
   115   5
   118   4
   119   4
   119   5
   127   4
   130   4
   130   5
   131   4
   133   4
   135   4
   135   6
   136   4
   138   4
   138   5
   142   4
   145   4
   145   5
   146   4
   146   5
   148   4
   148   5
   148   6
   152   4
   152   5
   152   6
   155   4
   159   4
   159   5
   164   4
   164   5
   166   4
   178   4
   178   5
   180   4
   188   4
   189   4
   189   5
   189   6
   190   4
   191   4
   191   5
   194   4
   195   5
   197   4
   197   5
   197   6
   197   7
   204   4
   204   5
   204   6
   204   7
   206   4
   211   4
   212   4
   212   5
   215   4
   215   5
   216   4
   216   5
   217   6
   218   4
   231   4
   233   4
   236   4
   236   5
   237   4
   239   4
   242   4
   242   5
   242   6
   242   7
   243   7
   245   4
   245   5
   245   6
   245   7
   246   7
   247   7
   248   4
   248   5
   248   7
   249   4
   249   5
   249   6
   251   4
   251   5
   252   4
   252   5
   254   4
   254   5
   254   6
   255   4
   255   5
   255   6
   255   7
   258   4
   258   5
   260   4
   260   5
   262  11
   265   4
   265   5
   268   4
   268   5
   269   4
   273  13
   274   4
   274   5
   277   4
   277   5
   281   4
   281   5
   282   4


