    1   17 0.0000 1.4125e+15
    2   17 0.0000 8.9125e+14
    3   17 0.0000 7.0795e+14
    4   17 0.0000 1.0000e+15
    5   17 0.0000 1.5849e+15
    6   17 0.0000 1.0000e+15
    7   17 0.0000 1.1220e+15
    8   17 0.0000 7.9433e+14
    9   17 0.0000 1.2589e+15
   11   17 0.0000 1.2589e+15
   12   17 0.0000 7.9433e+14
   13   17 0.0000 5.0119e+14
   14   17 0.0000 7.9433e+14
   15   17 0.0000 3.5481e+14
   16   17 0.0000 1.0000e+15
   17   17 0.0000 3.5481e+14
   18   17 0.0000 5.0119e+14
   19   17 0.0000 8.9125e+14
   20   17 0.0000 8.9125e+14
   21   17 0.0000 1.1220e+15
   22   17 0.0000 7.0795e+14
   23   17 0.0000 1.1220e+15
   24   17 0.0000 1.0000e+15
   25   17 0.0000 1.0000e+15
   26   17 0.0000 1.0000e+15
   27   17 0.0000 1.1220e+15
   28   17 0.0000 1.0000e+15
   29   17 0.0000 1.2589e+15
   30   17 0.0000 6.3096e+14
   31   17 0.0000 1.0000e+15
   32   17 0.0000 8.9125e+14
   33   17 0.0000 4.4668e+14
   34   17 0.0000 1.1220e+15
   35   17 0.0000 6.3096e+14
   36   17 0.0000 8.9125e+14
   37   17 0.0000 4.4668e+14
   38   17 0.0000 8.9125e+14
   39   17 0.0000 1.2589e+15
   40   17 0.0000 6.3096e+14
   41   17 0.0000 1.1220e+15
   42   17 0.0000 1.1220e+15
   43   17 0.0000 1.0000e+15
   44   17 0.0000 1.1220e+15
   45   17 0.0000 4.4668e+14
   46   17 0.0000 5.6234e+14
   47   17 0.0000 1.0000e+15
   48   17 0.0000 7.0795e+14
   49   17 0.0000 5.0119e+14
   50   17 0.0000 1.0000e+15
   51   17 0.0000 7.0795e+14
   52   17 0.0000 7.9433e+14
   53   17 0.0000 1.0000e+15
   54   17 0.0000 1.0000e+15
   55   17 0.0000 5.6234e+14
   56   17 0.0000 6.3096e+14
   57   17 0.0000 5.6234e+14
   58   17 0.0000 1.0000e+15
   59   17 0.0000 6.3096e+14
   60   17 0.0000 7.9433e+14
   61   17 0.0000 1.1220e+15
   62   17 0.0000 3.9811e+14
   63   17 0.0000 5.6234e+14
   64   17 0.0000 7.0795e+14
   65   17 0.0000 6.3096e+14
   66   17 0.0000 8.9125e+14
   67   17 0.0000 7.9433e+14
   68   17 0.0000 6.3096e+14
   69   17 0.0000 6.3096e+14
   70   17 0.0000 7.0795e+14
   71   17 0.0000 7.0795e+14
   72   17 0.0000 2.8184e+14
   73   17 0.0000 8.9125e+14
   74   17 0.0000 8.9125e+14
   75   17 0.0000 5.0119e+14
   76   17 0.0000 7.9433e+14
   77   17 0.0000 4.4668e+14
   78   17 0.0000 6.3096e+14
   79   17 0.0000 5.6234e+14
   80   17 0.0000 6.3096e+14
   81   17 0.0000 1.0000e+15
   82   17 0.0000 7.0795e+14
   83   17 0.0000 3.9811e+14
   84   17 0.0000 5.6234e+14
   85   17 0.0000 8.9125e+14
   86   17 0.0000 4.4668e+14
   87   17 0.0000 3.9811e+14
   88   17 0.0000 7.9433e+14
   89   17 0.0000 6.3096e+14
   90   17 0.0000 1.0000e+15
   91   17 0.0000 3.9811e+14
   92   17 0.0000 7.9433e+14
   93   17 0.0000 8.9125e+14
   94   17 0.0000 4.4668e+14
   95   17 0.0000 6.3096e+14
   96   17 0.0000 8.9125e+14
   97   17 0.0000 7.9433e+14
   98   17 0.0000 7.0795e+14
   99   17 0.0000 5.6234e+14
  100   17 0.0000 7.0795e+14
  101   17 0.0000 6.3096e+14
  102   17 0.0000 6.3096e+14
  103   17 0.0000 5.0119e+14
  104   17 0.0000 7.9433e+14
  105   17 0.0000 5.6234e+14
  106   17 0.0000 7.9433e+14
  107   17 0.0000 3.5481e+14
  108   17 0.0000 6.3096e+14
  109   17 0.0000 5.0119e+14
  110   17 0.0000 7.9433e+14
  111   17 0.0000 7.0795e+14
  112   17 0.0000 5.0119e+14
  113   17 0.0000 8.9125e+14
  114   17 0.0000 7.0795e+14
  115   17 0.0000 5.6234e+14
  116   17 0.0000 5.0119e+14
  117   17 0.0000 3.5481e+14
  118   17 0.0000 4.4668e+14
  119   17 0.0000 3.5481e+14
  120   17 0.0000 7.0795e+14
  121   17 0.0000 7.9433e+14
  122   17 0.0000 6.3096e+14
  123   17 0.0000 6.3096e+14
