#         q            M           r           M*(1-1/r)        s
  1.010000e+00  1.273000e+00  1.403000e+00  3.660000e-01  8.444080e+00
  1.010056e+00  1.273483e+00  1.403940e+00  3.664628e-01  8.427056e+00
  1.010108e+00  1.273967e+00  1.404787e+00  3.669292e-01  8.411689e+00
  1.010158e+00  1.274452e+00  1.405555e+00  3.674029e-01  8.397764e+00
  1.010206e+00  1.274938e+00  1.406254e+00  3.678876e-01  8.385068e+00
  1.010250e+00  1.275425e+00  1.406897e+00  3.683870e-01  8.373383e+00
  1.010293e+00  1.275912e+00  1.407496e+00  3.689048e-01  8.362490e+00
  1.010333e+00  1.276401e+00  1.408064e+00  3.694444e-01  8.352173e+00
  1.010371e+00  1.276891e+00  1.408610e+00  3.700061e-01  8.342249e+00
  1.010407e+00  1.277381e+00  1.409145e+00  3.705891e-01  8.332547e+00
  1.010443e+00  1.277873e+00  1.409679e+00  3.711925e-01  8.322897e+00
  1.010478e+00  1.278366e+00  1.410221e+00  3.718153e-01  8.313125e+00
  1.010514e+00  1.278859e+00  1.410781e+00  3.724566e-01  8.303055e+00
  1.010550e+00  1.279354e+00  1.411371e+00  3.731156e-01  8.292512e+00
  1.010588e+00  1.279849e+00  1.411999e+00  3.737912e-01  8.281318e+00
  1.010628e+00  1.280345e+00  1.412676e+00  3.744820e-01  8.269310e+00
  1.010670e+00  1.280843e+00  1.413401e+00  3.751802e-01  8.256512e+00
  1.010716e+00  1.281341e+00  1.414166e+00  3.758745e-01  8.243062e+00
  1.010765e+00  1.281841e+00  1.414965e+00  3.765533e-01  8.229098e+00
  1.010820e+00  1.282341e+00  1.415789e+00  3.772048e-01  8.214763e+00
  1.010880e+00  1.282842e+00  1.416632e+00  3.778174e-01  8.200197e+00
  1.010946e+00  1.283345e+00  1.417486e+00  3.783806e-01  8.185546e+00
  1.011017e+00  1.283848e+00  1.418341e+00  3.789002e-01  8.170977e+00
  1.011089e+00  1.284352e+00  1.419184e+00  3.793922e-01  8.156672e+00
  1.011160e+00  1.284857e+00  1.420003e+00  3.798728e-01  8.142814e+00
  1.011227e+00  1.285364e+00  1.420787e+00  3.803584e-01  8.129586e+00
  1.011286e+00  1.285871e+00  1.421522e+00  3.808656e-01  8.117175e+00
  1.011336e+00  1.286379e+00  1.422199e+00  3.814094e-01  8.105738e+00
  1.011377e+00  1.286888e+00  1.422824e+00  3.819914e-01  8.095155e+00
  1.011412e+00  1.287399e+00  1.423415e+00  3.826057e-01  8.085159e+00
  1.011444e+00  1.287910e+00  1.423988e+00  3.832464e-01  8.075479e+00
  1.011475e+00  1.288422e+00  1.424561e+00  3.839076e-01  8.065841e+00
  1.011509e+00  1.288935e+00  1.425150e+00  3.845833e-01  8.055970e+00
  1.011548e+00  1.289450e+00  1.425775e+00  3.852673e-01  8.045588e+00
  1.011596e+00  1.289965e+00  1.426452e+00  3.859535e-01  8.034413e+00
  1.011655e+00  1.290481e+00  1.427195e+00  3.866371e-01  8.022227e+00
  1.011722e+00  1.290999e+00  1.427997e+00  3.873196e-01  8.009134e+00
  1.011795e+00  1.291517e+00  1.428845e+00  3.880044e-01  7.995335e+00
  1.011869e+00  1.292036e+00  1.429727e+00  3.886950e-01  7.981036e+00
  1.011942e+00  1.292557e+00  1.430628e+00  3.893949e-01  7.966444e+00
  1.012010e+00  1.293078e+00  1.431536e+00  3.901078e-01  7.951767e+00
  1.012070e+00  1.293601e+00  1.432438e+00  3.908334e-01  7.937192e+00
  1.012125e+00  1.294124e+00  1.433328e+00  3.915616e-01  7.922843e+00
  1.012176e+00  1.294649e+00  1.434199e+00  3.922805e-01  7.908836e+00
  1.012224e+00  1.295174e+00  1.435044e+00  3.929782e-01  7.895288e+00
  1.012272e+00  1.295701e+00  1.435856e+00  3.936426e-01  7.882316e+00
  1.012322e+00  1.296229e+00  1.436630e+00  3.942620e-01  7.870037e+00
  1.012373e+00  1.296757e+00  1.437363e+00  3.948349e-01  7.858472e+00
  1.012426e+00  1.297287e+00  1.438062e+00  3.953723e-01  7.847523e+00
  1.012480e+00  1.297818e+00  1.438731e+00  3.958862e-01  7.837090e+00
  1.012535e+00  1.298350e+00  1.439379e+00  3.963887e-01  7.827067e+00
  1.012589e+00  1.298883e+00  1.440009e+00  3.968918e-01  7.817349e+00
  1.012643e+00  1.299417e+00  1.440629e+00  3.974079e-01  7.807831e+00
  1.012695e+00  1.299952e+00  1.441244e+00  3.979493e-01  7.798405e+00
  1.012746e+00  1.300488e+00  1.441862e+00  3.985265e-01  7.788962e+00
  1.012796e+00  1.301025e+00  1.442489e+00  3.991396e-01  7.779386e+00
  1.012846e+00  1.301563e+00  1.443135e+00  3.997851e-01  7.769558e+00
  1.012896e+00  1.302102e+00  1.443808e+00  4.004596e-01  7.759358e+00
  1.012950e+00  1.302643e+00  1.444516e+00  4.011595e-01  7.748664e+00
  1.013006e+00  1.303184e+00  1.445268e+00  4.018813e-01  7.737355e+00
  1.013067e+00  1.303727e+00  1.446072e+00  4.026216e-01  7.725305e+00
  1.013134e+00  1.304270e+00  1.446938e+00  4.033764e-01  7.712401e+00
  1.013205e+00  1.304815e+00  1.447857e+00  4.041380e-01  7.698745e+00
  1.013280e+00  1.305361e+00  1.448807e+00  4.048941e-01  7.684664e+00
  1.013355e+00  1.305907e+00  1.449765e+00  4.056323e-01  7.670498e+00
  1.013430e+00  1.306455e+00  1.450706e+00  4.063402e-01  7.656589e+00
  1.013501e+00  1.307004e+00  1.451607e+00  4.070050e-01  7.643283e+00
  1.013566e+00  1.307554e+00  1.452449e+00  4.076183e-01  7.630849e+00
  1.013627e+00  1.308106e+00  1.453236e+00  4.081892e-01  7.619240e+00
  1.013684e+00  1.308658e+00  1.453976e+00  4.087307e-01  7.608331e+00
  1.013738e+00  1.309211e+00  1.454679e+00  4.092564e-01  7.597996e+00
  1.013790e+00  1.309766e+00  1.455355e+00  4.097795e-01  7.588109e+00
  1.013840e+00  1.310321e+00  1.456011e+00  4.103138e-01  7.578540e+00
  1.013889e+00  1.310878e+00  1.456659e+00  4.108731e-01  7.569161e+00
  1.013939e+00  1.311436e+00  1.457306e+00  4.114696e-01  7.559839e+00
  1.013989e+00  1.311995e+00  1.457965e+00  4.121050e-01  7.550426e+00
  1.014041e+00  1.312555e+00  1.458644e+00  4.127755e-01  7.540767e+00
  1.014096e+00  1.313116e+00  1.459355e+00  4.134773e-01  7.530706e+00
  1.014153e+00  1.313678e+00  1.460108e+00  4.142065e-01  7.520085e+00
  1.014213e+00  1.314242e+00  1.460915e+00  4.149593e-01  7.508744e+00
  1.014277e+00  1.314806e+00  1.461785e+00  4.157318e-01  7.496522e+00
  1.014346e+00  1.315372e+00  1.462729e+00  4.165194e-01  7.483285e+00
  1.014419e+00  1.315939e+00  1.463733e+00  4.173121e-01  7.469233e+00
  1.014495e+00  1.316507e+00  1.464766e+00  4.180957e-01  7.454796e+00
