#         q            M           r           M*(1-1/r)        s
  1.010000e+00  1.273000e+00  1.403000e+00  3.660000e-01  8.444080e+00
  1.010082e+00  1.273725e+00  1.404374e+00  3.666953e-01  8.419179e+00
  1.010158e+00  1.274452e+00  1.405555e+00  3.674029e-01  8.397764e+00
  1.010228e+00  1.275181e+00  1.406582e+00  3.681353e-01  8.379113e+00
  1.010293e+00  1.275912e+00  1.407496e+00  3.689048e-01  8.362490e+00
  1.010352e+00  1.276646e+00  1.408339e+00  3.697226e-01  8.347172e+00
  1.010407e+00  1.277381e+00  1.409145e+00  3.705891e-01  8.332547e+00
  1.010461e+00  1.278119e+00  1.409948e+00  3.715015e-01  8.318037e+00
  1.010514e+00  1.278859e+00  1.410781e+00  3.724566e-01  8.303055e+00
  1.010569e+00  1.279601e+00  1.411680e+00  3.734514e-01  8.287008e+00
  1.010628e+00  1.280345e+00  1.412676e+00  3.744820e-01  8.269310e+00
  1.010692e+00  1.281092e+00  1.413779e+00  3.755286e-01  8.249860e+00
  1.010765e+00  1.281841e+00  1.414965e+00  3.765533e-01  8.229098e+00
  1.010849e+00  1.282591e+00  1.416209e+00  3.775167e-01  8.207499e+00
  1.010946e+00  1.283345e+00  1.417486e+00  3.783806e-01  8.185546e+00
  1.011053e+00  1.284100e+00  1.418765e+00  3.791486e-01  8.163781e+00
  1.011160e+00  1.284857e+00  1.420003e+00  3.798728e-01  8.142814e+00
  1.011258e+00  1.285617e+00  1.421161e+00  3.806083e-01  8.123267e+00
  1.011336e+00  1.286379e+00  1.422199e+00  3.814094e-01  8.105738e+00
  1.011395e+00  1.287143e+00  1.423123e+00  3.822949e-01  8.090101e+00
  1.011444e+00  1.287910e+00  1.423988e+00  3.832464e-01  8.075479e+00
  1.011491e+00  1.288679e+00  1.424852e+00  3.842440e-01  8.060952e+00
  1.011548e+00  1.289450e+00  1.425775e+00  3.852673e-01  8.045588e+00
  1.011624e+00  1.290223e+00  1.426815e+00  3.862957e-01  8.028446e+00
  1.011722e+00  1.290999e+00  1.427997e+00  3.873196e-01  8.009134e+00
