#      q         M        r        M*(1-1/r)    s
     1.6363     2.816    2.9020     1.846     2.577303
     1.6607     2.852    2.9224     1.876     2.560531
     1.6861     2.890    2.9429     1.908     2.544049
     1.7127     2.929    2.9635     1.941     2.527849
     1.7406     2.969    2.9842     1.974     2.511940
     1.7698     3.010    3.0049     2.008     2.496311
     1.8004     3.052    3.0257     2.043     2.480968
     1.8324     3.096    3.0465     2.080     2.465906
     1.8660     3.141    3.0674     2.117     2.451121
     1.9013     3.188    3.0882     2.156     2.436620
     1.9383     3.236    3.1091     2.195     2.422388
     1.9771     3.285    3.1300     2.235     2.408436
     2.0180     3.337    3.1509     2.278     2.394754
     2.0609     3.390    3.1718     2.321     2.381343
     2.1061     3.444    3.1927     2.365     2.368204
     2.1537     3.501    3.2135     2.412     2.355334
     2.2039     3.560    3.2343     2.459     2.342729
     2.2568     3.620    3.2550     2.508     2.330392
     2.3125     3.683    3.2756     2.559     2.318320
     2.3714     3.748    3.2962     2.611     2.306509
     2.4337     3.816    3.3167     2.665     2.294962
     2.4995     3.886    3.3370     2.721     2.283673
     2.5691     3.959    3.3573     2.780     2.272644
     2.6429     4.034    3.3774     2.840     2.261871
     2.7211     4.113    3.3974     2.902     2.251355
     2.8040     4.194    3.4172     2.967     2.241093
     2.8921     4.279    3.4369     3.034     2.231084
     2.9857     4.367    3.4563     3.104     2.221327
     3.0853     4.459    3.4756     3.176     2.211820
     3.1914     4.555    3.4947     3.252     2.202561
     3.3045     4.655    3.5135     3.330     2.193550
     3.4251     4.759    3.5321     3.412     2.184785
     3.5540     4.868    3.5504     3.497     2.176264
     3.6918     4.981    3.5685     3.585     2.167985
     3.8393     5.100    3.5863     3.678     2.159947
     3.9974     5.224    3.6038     3.774     2.152148
     4.1671     5.354    3.6210     3.875     2.144587
     4.3494     5.490    3.6379     3.981     2.137261
     4.5455     5.633    3.6545     4.092     2.130169
     4.7567     5.783    3.6707     4.208     2.123310
     4.9846     5.940    3.6865     4.329     2.116680
     5.2307     6.105    3.7020     4.456     2.110278
     5.4969     6.279    3.7171     4.590     2.104101
     5.7852     6.462    3.7319     4.730     2.098149
     6.0980     6.654    3.7462     4.878     2.092417
     6.4379     6.858    3.7601     5.034     2.086904
     6.8078     7.072    3.7737     5.198     2.081607
     7.2110     7.299    3.7867     5.371     2.076523
     7.6513     7.538    3.7994     5.554     2.071650
     8.1329     7.792    3.8117     5.748     2.066985
     8.6607     8.061    3.8235     5.953     2.062525
     9.2402     8.346    3.8348     6.170     2.058265
     9.8776     8.648    3.8457     6.399     2.054204
    10.5801     8.970    3.8562     6.644     2.050338
    11.3560     9.313    3.8663     6.904     2.046662
    12.2147     9.677    3.8758     7.180     2.043173
    13.1671    10.066    3.8850     7.475     2.039867
    14.2257    10.482    3.8937     7.790     2.036740
    15.4052    10.926    3.9019     8.126     2.033788
    16.7223    11.402    3.9098     8.486     2.031005
    18.1968    11.912    3.9172     8.871     2.028389
    19.8516    12.460    3.9242     9.285     2.025932
    21.7135    13.048    3.9307     9.728     2.023632
    23.8139    13.682    3.9369    10.207     2.021482
    26.1900    14.365    3.9427    10.722     2.019478
    28.8855    15.103    3.9481    11.278     2.017613
    31.9522    15.901    3.9531    11.879     2.015884
    35.4516    16.765    3.9578    12.529     2.014283
    39.4570    17.702    3.9621    13.234     2.012806
    44.0563    18.720    3.9660    14.000     2.011447
    49.3547    19.828    3.9697    14.833     2.010200
    55.4790    21.037    3.9731    15.742     2.009059
    62.5824    22.357    3.9761    16.734     2.008019
    70.8510    23.801    3.9789    17.819     2.007073
    80.5112    25.385    3.9815    19.009     2.006217
    91.8400    27.125    3.9838    20.316     2.005444
   105.1775    29.040    3.9858    21.754     2.004749
   120.9429    31.152    3.9877    23.340     2.004126
   139.6555    33.486    3.9893    25.092     2.003570
   161.9607    36.072    3.9908    27.033     2.003077
   188.6653    38.942    3.9921    29.187     2.002639
   220.7815    42.136    3.9933    31.584     2.002254
   259.5862    45.699    3.9943    34.258     2.001916
   306.6974    49.681    3.9951    37.246     2.001621
   364.1760    54.145    3.9959    40.595     2.001365
   434.6610    59.162    3.9966    44.359     2.001143
   521.5491    64.813    3.9971    48.598     2.000952
   629.2367    71.197    3.9976    53.387     2.000789
   763.4462    78.430    3.9981    58.813     2.000650
   931.6694    86.647    3.9984    64.977     2.000533
  1143.7726    96.010    3.9987    72.000     2.000434
  1412.8298   106.712    3.9989    80.027     2.000351
  1756.2751   118.983    3.9992    89.231     2.000283
  2197.5073   133.097    3.9993    99.817     2.000226
  2768.1411   149.386    3.9995   112.035     2.000179
  3511.1863   168.249    3.9996   126.183     2.000141
  4485.5684   190.170    3.9997   142.624     2.000111
  5772.6074   215.737    3.9997   161.799     2.000086
  7485.3687   245.669    3.9998   184.249     2.000066
  9782.2686   280.846    3.9998   210.631     2.000051
 12887.0283   322.350    3.9999   241.760     2.000038
 17118.1699   371.520    3.9999   278.638     2.000029
 22933.0098   430.018    3.9999   322.511     2.000022
 30993.8047   499.914    4.0000   374.935     2.000016
 42268.1406   583.801    4.0000   437.851     2.000012
 58182.6562   684.946    4.0000   513.710     2.000009
 80860.6719   807.474    4.0000   605.606     2.000006
113493.1016   956.633    4.0000   717.475     2.000004
160923.1562  1139.122    4.0000   854.341     2.000003
230577.5938  1363.546    4.0000  1022.659     2.000002
333965.5312  1641.013    4.0000  1230.760     2.000001
489116.9062  1985.947    4.0000  1489.460     2.000001
