#         q            M           r           M*(1-1/r)        s
  1.010000e+00  1.273000e+00  1.403000e+00  3.660000e-01  8.444080e+00
  1.010158e+00  1.274452e+00  1.405555e+00  3.674029e-01  8.397764e+00
  1.010293e+00  1.275912e+00  1.407496e+00  3.689048e-01  8.362490e+00
  1.010407e+00  1.277381e+00  1.409145e+00  3.705891e-01  8.332547e+00
  1.010514e+00  1.278859e+00  1.410781e+00  3.724566e-01  8.303055e+00
  1.010628e+00  1.280345e+00  1.412676e+00  3.744820e-01  8.269310e+00
  1.010765e+00  1.281841e+00  1.414965e+00  3.765533e-01  8.229098e+00
  1.010946e+00  1.283345e+00  1.417486e+00  3.783806e-01  8.185546e+00
  1.011160e+00  1.284857e+00  1.420003e+00  3.798728e-01  8.142814e+00
  1.011336e+00  1.286379e+00  1.422199e+00  3.814094e-01  8.105738e+00
  1.011444e+00  1.287910e+00  1.423988e+00  3.832464e-01  8.075479e+00
  1.011548e+00  1.289450e+00  1.425775e+00  3.852673e-01  8.045588e+00
  1.011722e+00  1.290999e+00  1.427997e+00  3.873196e-01  8.009134e+00
  1.011942e+00  1.292557e+00  1.430628e+00  3.893949e-01  7.966444e+00
  1.012125e+00  1.294124e+00  1.433328e+00  3.915616e-01  7.922843e+00
  1.012272e+00  1.295701e+00  1.435856e+00  3.936426e-01  7.882316e+00
  1.012426e+00  1.297287e+00  1.438062e+00  3.953723e-01  7.847523e+00
  1.012589e+00  1.298883e+00  1.440009e+00  3.968918e-01  7.817349e+00
  1.012746e+00  1.300488e+00  1.441862e+00  3.985265e-01  7.788962e+00
  1.012896e+00  1.302102e+00  1.443808e+00  4.004596e-01  7.759358e+00
  1.013067e+00  1.303727e+00  1.446072e+00  4.026216e-01  7.725305e+00
  1.013280e+00  1.305361e+00  1.448807e+00  4.048941e-01  7.684664e+00
  1.013501e+00  1.307004e+00  1.451607e+00  4.070050e-01  7.643283e+00
  1.013684e+00  1.308658e+00  1.453976e+00  4.087307e-01  7.608331e+00
  1.013840e+00  1.310321e+00  1.456011e+00  4.103138e-01  7.578540e+00
  1.013989e+00  1.311995e+00  1.457965e+00  4.121050e-01  7.550426e+00
  1.014153e+00  1.313678e+00  1.460108e+00  4.142065e-01  7.520085e+00
  1.014346e+00  1.315372e+00  1.462729e+00  4.165194e-01  7.483285e+00
  1.014572e+00  1.317076e+00  1.465801e+00  4.188558e-01  7.440407e+00
  1.014807e+00  1.318790e+00  1.468626e+00  4.208639e-01  7.401657e+00
  1.015029e+00  1.320515e+00  1.470948e+00  4.225333e-01  7.370568e+00
  1.015226e+00  1.322250e+00  1.473117e+00  4.242697e-01  7.341553e+00
  1.015398e+00  1.323995e+00  1.475415e+00  4.263553e-01  7.310332e+00
  1.015573e+00  1.325751e+00  1.477848e+00  4.286664e-01  7.277643e+00
  1.015779e+00  1.327518e+00  1.480368e+00  4.310113e-01  7.244919e+00
  1.016008e+00  1.329295e+00  1.482908e+00  4.332104e-01  7.212645e+00
  1.016238e+00  1.331083e+00  1.485397e+00  4.351067e-01  7.180916e+00
  1.016462e+00  1.332882e+00  1.487855e+00  4.368425e-01  7.149497e+00
  1.016686e+00  1.334692e+00  1.490373e+00  4.387901e-01  7.117901e+00
  1.016914e+00  1.336513e+00  1.492975e+00  4.410704e-01  7.085948e+00
  1.017143e+00  1.338345e+00  1.495588e+00  4.434394e-01  7.053909e+00
  1.017372e+00  1.340188e+00  1.498186e+00  4.457343e-01  7.021830e+00
  1.017605e+00  1.342043e+00  1.500863e+00  4.480546e-01  6.989148e+00
  1.017843e+00  1.343909e+00  1.503659e+00  4.504665e-01  6.955889e+00
  1.018075e+00  1.345786e+00  1.506321e+00  4.527593e-01  6.924690e+00
  1.018292e+00  1.347675e+00  1.508603e+00  4.547217e-01  6.897974e+00
  1.018514e+00  1.349575e+00  1.510746e+00  4.565397e-01  6.873131e+00
  1.018769e+00  1.351487e+00  1.513162e+00  4.585451e-01  6.845694e+00
  1.019061e+00  1.353411e+00  1.516049e+00  4.609064e-01  6.813502e+00
  1.019349e+00  1.355346e+00  1.519158e+00  4.634610e-01  6.779046e+00
  1.019601e+00  1.357294e+00  1.522201e+00  4.659954e-01  6.745344e+00
  1.019829e+00  1.359253e+00  1.524925e+00  4.682705e-01  6.715308e+00
  1.020052e+00  1.361225e+00  1.527256e+00  4.701989e-01  6.689864e+00
